Model,Accuracy,Precision,Recall,F1,ROC_AUC,TN,FP,FN,TP
Logistic Regression,0.8869315854158132,0.7523809523809524,0.41361256544502617,0.5337837837837838,0.8995738286007797,2007,52,224,158
Random Forest,0.9041376485047112,0.7642857142857142,0.5602094240837696,0.6465256797583081,0.9254479758129932,1993,66,168,214
