Model,Accuracy,Precision,Recall,F1,ROC_AUC,TN,FP,FN,TP
Logistic Regression,0.8869315854158132,0.7523809523809524,0.41361256544502617,0.5337837837837838,0.8995738286007797,2007,52,224,158
Balanced Logistic Regression,0.8459647685374846,0.5049833887043189,0.7958115183246073,0.6178861788617886,0.9096572575005912,1761,298,78,304
Random Forest,0.9041376485047112,0.7642857142857142,0.5602094240837696,0.6465256797583081,0.9254479758129932,1993,66,168,214
Balanced Random Forest,0.8971732896353953,0.7471698113207547,0.518324607329843,0.6120556414219475,0.9244251390269764,1992,67,184,198
