Model,Accuracy,Precision,Recall,F1,ROC_AUC,TN,FP,FN,TP
Default Random Forest,0.9041376485047112,0.7642857142857142,0.5602094240837696,0.6465256797583081,0.9254479758129932,1993,66,168,214
Tuned Random Forest,0.889389594428513,0.6278538812785388,0.7198952879581152,0.6707317073170732,0.9294312544339879,1896,163,107,275
