Model,PageValues,Accuracy,Precision,Recall,F1,ROC_AUC,TN,FP,FN,TP
Logistic Regression,Included,0.8869315854158132,0.7523809523809524,0.41361256544502617,0.5337837837837838,0.8995738286007797,2007,52,224,158
Random Forest,Included,0.9041376485047112,0.7642857142857142,0.5602094240837696,0.6465256797583081,0.9254479758129932,1993,66,168,214
Logistic Regression,Removed,0.8435067595247849,0.5,0.03926701570680628,0.07281553398058252,0.7537372638067074,2044,15,367,15
Random Forest,Removed,0.8439164276935682,0.5072463768115942,0.09162303664921466,0.15521064301552107,0.7793882813036369,2025,34,347,35
