Threshold,Precision,Recall,F1
0.1,0.38943623426382046,0.9325032765399738,0.5494208494208495
0.15000000000000002,0.47065026362038664,0.8774574049803407,0.6126744452070464
0.20000000000000004,0.5315767461313258,0.8328964613368283,0.648966045442941
0.25000000000000006,0.5764482431149098,0.7955439056356488,0.6685022026431718
0.30000000000000004,0.6163353036002149,0.7516382699868939,0.6772955417773842
0.3500000000000001,0.6533742331288344,0.6979030144167759,0.6749049429657795
0.40000000000000013,0.6871938418474458,0.6435124508519003,0.6646362098138748
0.45000000000000007,0.7423616845582164,0.5891218872870249,0.6569236390208257
0.5000000000000001,0.7775609756097561,0.5222804718217562,0.6248529988239906
0.5500000000000002,0.8106508875739645,0.4488859764089122,0.5778152678194854
0.6000000000000002,0.8510324483775811,0.3781127129750983,0.5235934664246824
0.6500000000000001,0.8830188679245283,0.30668414154652685,0.45525291828793774
0.7000000000000002,0.9210526315789473,0.22935779816513763,0.3672612801678909
0.7500000000000002,0.9523809523809523,0.15727391874180865,0.26996625421822273
0.8000000000000002,0.9852941176470589,0.08781127129750983,0.16125150421179302
0.8500000000000002,1.0,0.03407601572739188,0.06590621039290241
0.9000000000000002,1.0,0.007208387942332897,0.014313597918022121
